time,close
3/5/2013,11.13
3/6/2013,11.2
3/7/2013,10.78
3/8/2013,10.6
3/11/2013,10.62
3/12/2013,10.26
3/13/2013,10.2
3/14/2013,10.3
3/15/2013,10.43
3/18/2013,10.74
3/19/2013,10.82
3/20/2013,10.98
3/21/2013,11.17
3/22/2013,11.17
3/25/2013,11.17
3/26/2013,11.17
3/27/2013,11.17
3/28/2013,11.17
3/29/2013,11.17
4/1/2013,11.17
4/2/2013,11.17
4/3/2013,11.17
4/8/2013,11.17
4/9/2013,11.17
4/10/2013,11.17
4/11/2013,11.17
4/12/2013,11.17
4/15/2013,11.17
4/16/2013,11.17
4/17/2013,11.17
4/18/2013,11.17
4/19/2013,11.17
4/22/2013,11.17
4/23/2013,11.17
4/24/2013,11.17
4/25/2013,11.17
4/26/2013,11.17
5/2/2013,11.17
5/3/2013,11.17
5/6/2013,11.17
5/7/2013,11.17
5/8/2013,11.17
5/9/2013,11.17
5/10/2013,11.17
5/13/2013,11.17
5/14/2013,11.17
5/15/2013,11.17
5/16/2013,11.17
5/17/2013,11.17
5/20/2013,11.17
5/21/2013,11.17
5/22/2013,11.17
5/23/2013,11.17
5/24/2013,11.17
5/27/2013,11.17
5/28/2013,11.17
5/29/2013,11.17
5/30/2013,11.17
5/31/2013,11.17
6/3/2013,11.17
6/4/2013,11.17
6/5/2013,11.17
6/6/2013,11.17
6/7/2013,11.17
6/13/2013,11.17
6/14/2013,11.17
6/17/2013,11.17
6/18/2013,11.17
6/19/2013,11.17
6/20/2013,11.17
6/21/2013,11.17
6/24/2013,11.17
6/25/2013,11.17
6/26/2013,11.17
6/27/2013,12.29
6/28/2013,12.96
7/1/2013,13.11
7/2/2013,12.74
7/3/2013,14.01
7/4/2013,13.88
7/5/2013,13.29
7/8/2013,12.16
7/9/2013,12.4
7/10/2013,12.54
7/11/2013,12.63
7/12/2013,12.81
7/15/2013,13.42
7/16/2013,13.34
7/17/2013,13.92
7/18/2013,14.03
7/19/2013,13.84
7/22/2013,14.1
7/23/2013,14.01
7/24/2013,14.18
7/25/2013,12.96
7/26/2013,13.15
7/29/2013,12.5
7/30/2013,11.91
7/31/2013,12.14
8/1/2013,12.53
8/2/2013,12.41
8/5/2013,12.31
8/6/2013,12.77
8/7/2013,12.85
8/8/2013,12.64
8/9/2013,12.25
8/12/2013,12.29
8/13/2013,12.3
8/14/2013,12.53
8/15/2013,12.55
8/16/2013,11.98
8/19/2013,12.41
8/20/2013,12.62
8/21/2013,12.43
8/22/2013,13.26
8/23/2013,12.9
8/26/2013,13.2
8/27/2013,13.38
8/28/2013,12.89
8/29/2013,13.87
8/30/2013,12.83
9/2/2013,12.71
9/3/2013,13.35
9/4/2013,13.74
9/5/2013,14.53
9/6/2013,14.4
9/9/2013,14.35
9/10/2013,14.02
9/11/2013,13.51
9/12/2013,13.64
9/13/2013,13.71
9/16/2013,14.09
9/17/2013,13.66
9/18/2013,14.08
9/23/2013,14.66
9/24/2013,14.38
9/25/2013,15.54
9/26/2013,15.19
9/27/2013,14.86
9/30/2013,15.4
10/8/2013,16.4
10/9/2013,16.14
10/10/2013,16.23
10/11/2013,16.12
10/14/2013,16.39
10/15/2013,15.7
10/16/2013,14.59
10/17/2013,14.25
10/18/2013,14.7
10/21/2013,15.31
10/22/2013,14.75
10/23/2013,14.18
10/24/2013,14.36
10/25/2013,13.89
10/28/2013,12.74
10/29/2013,11.92
10/30/2013,11.85
10/31/2013,11.19
11/1/2013,10.92
11/4/2013,11.14
11/5/2013,11.48
11/6/2013,12.26
11/7/2013,11.79
11/8/2013,11.43
11/11/2013,11.52
11/12/2013,11.88
11/13/2013,11.56
11/14/2013,11.91
11/15/2013,12.18
11/18/2013,12.63
11/19/2013,12.55
11/20/2013,13.81
11/21/2013,15.19
11/22/2013,15.07
11/25/2013,14.89
11/26/2013,14.92
11/27/2013,15.01
11/28/2013,14.65
11/29/2013,14.9
12/2/2013,13.41
12/3/2013,14.75
12/4/2013,15.83
12/5/2013,14.77
12/6/2013,14.35
12/9/2013,14.38
12/10/2013,14.18
12/11/2013,13.74
12/12/2013,14.45
12/13/2013,14.13
12/16/2013,14.03
12/17/2013,13.65
12/18/2013,13.17
